rank,ps_number,ideas,total,competition,solo,data,clarity,ai,theme,organization,dataset?,title
1,SIH26121,2,8.11,9.71,8,8,10,4,Smart Automation,Oil India Limited,Y,eRTMAC-NWIS (Nearby Wells Intelligence System): An AI-Powered Offset Well Knowledge and Decision Support Platform for Drilling Operations
2,SIH26024,6,8.09,9.14,8,8,10,5,Smart Automation,Ministry of Coal,Y,AI-Based Smart Governance and Compliance Monitoring System for Coal Mines
3,SIH26236,5,7.99,9.29,8,8,10,4,"Agriculture, FoodTech & Rural Development",Ministry of Food Processing Industries (MoFPI),Y,Al-Based Intelligent Food Packaging Material Recommendation System for Food Commodities
4,SIH26150,2,7.96,9.71,8,8,10,3,Blockchain & Cybersecurity,National Technical Research Organisation (NTRO),Y,"Development of a Multi-Vendor DVR/NVR Forensic Analysis Tool for Standardized Acquisition, Recovery, and Analysis of Surveillance Evidence."
5,SIH26094,9,7.95,8.71,8,8,9.89,5,MedTech / BioTech / HealthTech,Ministry of Social Justice and Empowerment (MoSJE),Y,AI-Powered Dynamic Mental Health Monitoring and Distress Prediction System for Victims of Atrocities
6,SIH26234,3,7.92,9.57,7,8,10,5,"Agriculture, FoodTech & Rural Development",Ministry of Food Processing Industries (MoFPI),Y,Al-Powered Smart Food Waste Reduction and Sustainable Redistribution Ecosystem for Institutional Kitchens and Food Processing Units
7,SIH26239,0,7.9,10.0,8,8,10,2,Smart Education,Ministry of Tribal Affairs,Y,AI-Enabled Scholarship and Fellowship Management System for Scheduled Tribes
8,SIH26014,4,7.88,9.43,8,8,10,3,"Agriculture, FoodTech & Rural Development",Ministry of Rural Development,Y,An lntegrated GIS-based Digital Public lnfrastructure for Land Governance
9,SIH26160,2,7.81,9.71,8,8,10,2,Blockchain & Cybersecurity,National Technical Research Organisation (NTRO),Y,AI-Powered IPsec VPN Protocol Analyzer and Security Assessment Framework
10,SIH26120,2,7.76,9.71,8,8,9.48,2,Smart Automation,Oil India Limited,Y,Digital Twin for Well-to-Surface Optimization of Cyclic Steam Stimulation (CSS) and Sucker Rod Pump (SRP) Operations for Heavy Oil Wells of Baghewala Field.
